iter	Passed	Remaining
0	1271	380301
1	2550	380080
2	3825	378713
3	4882	361318
4	6027	355596
5	7114	348616
6	8089	338616
7	9133	333386
8	10192	329572
9	11224	325507
10	12312	323489
11	13268	318443
12	14294	315579
13	15306	312695
14	16240	308576
15	17251	306218
16	18255	303895
17	19209	300944
18	20245	299425
19	21263	297695
20	22310	296406
21	23366	295261
22	24442	294371
23	25437	292530
24	26494	291434
25	27557	290413
26	28552	288696
27	29606	287609
28	30526	285267
29	31453	283078
30	32466	281728
31	33541	280913
32	34601	279955
33	35648	278900
34	36615	277232
35	37583	275612
36	38551	274028
37	39564	272789
38	40563	271461
39	41631	270605
40	42612	269184
41	43556	267562
42	44515	266057
43	45463	264515
44	46510	263557
45	47474	262140
46	48435	260726
47	49470	259720
48	50413	258239
49	51522	257613
50	52755	257569
51	53968	257388
52	55188	257197
53	56398	256928
54	57586	256521
55	58679	255674
56	59850	255152
57	60938	254262
58	62052	253468
59	63250	253000
60	64347	252114
61	65435	251187
62	66564	250409
63	67689	249605
64	68739	248519
65	69845	247635
66	70973	246817
67	72055	245836
68	73171	244965
69	74204	243813
70	75320	242935
71	76431	242033
72	77501	240998
73	78582	239994
74	79557	238671
75	80552	237418
76	81557	236198
77	82579	235034
78	83600	233869
79	84621	232707
80	85664	231611
81	86662	230396
82	87667	229202
83	88703	228095
84	89775	227079
85	90838	226039
86	91791	224731
87	92871	223736
88	93969	222780
89	94913	221465
90	95852	220144
91	96882	219038
92	97994	218115
93	99031	217026
94	100125	216061
95	101130	214902
96	102094	213660
97	103064	212439
98	104063	211279
99	105137	210274
100	106087	209024
101	107138	207975
102	108094	206743
103	109188	205778
104	110260	204769
105	111322	203740
106	112418	202773
107	113448	201686
108	114425	200507
109	115421	199364
110	116492	198351
111	117555	197325
112	118742	196503
113	119840	195529
114	120905	194500
115	121965	193462
116	122998	192381
117	124048	191329
118	125060	190218
119	126014	189022
120	127118	188052
121	128201	187047
122	129289	186050
123	130306	184951
124	131194	183672
125	132241	182619
126	133278	181553
127	134361	180548
128	135459	179561
129	136498	178497
130	137535	177431
131	138617	176422
132	139653	175354
133	140728	174335
134	141874	173402
135	142907	172329
136	143893	171201
137	144953	170162
138	145956	169057
139	147004	168005
140	148083	166987
141	149109	165910
142	150126	164824
143	151101	163693
144	152149	162642
145	153166	161558
146	154306	160604
147	155326	159524
148	156390	158490
149	157406	157406
150	158401	156303
151	159565	155365
152	160627	154328
153	161656	153258
154	162748	152248
155	163719	151126
156	164789	150094
157	165831	149038
158	166878	147986
159	167956	146962
160	169001	145908
161	170048	144855
162	171129	143832
163	172218	142815
164	173193	141703
165	174244	140655
166	175252	139572
167	176332	138546
168	177489	137580
169	178519	136514
170	179812	135647
171	181019	134712
172	182171	133733
173	183128	132610
174	184082	131487
175	185159	130453
176	186255	129431
177	187322	128389
178	188310	127293
179	189437	126291
180	190579	125297
181	191673	124271
182	192792	123261
183	193953	122275
184	195055	121250
185	196091	120185
186	197134	119124
187	198190	118071
188	199335	117070
189	200355	115995
190	201419	114946
191	202531	113923
192	203576	112863
193	204717	111856
194	205825	110829
195	206896	109782
196	207957	108729
197	208971	107652
198	210142	106655
199	211178	105589
200	212306	104569
201	213276	103470
202	214465	102478
203	215528	101425
204	216542	100348
205	217639	99311
206	218654	98235
207	219712	97180
208	220727	96106
209	221805	95059
210	222780	93969
211	223834	92912
212	224794	91817
213	225725	90711
214	226780	89657
215	227959	88651
216	229025	87599
217	230095	86549
218	231208	85515
219	232255	84456
220	233293	83394
221	234305	82323
222	235395	81279
223	236381	80200
224	237509	79169
225	238579	78118
226	239501	77020
227	240559	75966
228	241652	74922
229	242798	73895
230	243826	72831
231	244977	71803
232	246139	70778
233	247275	69744
234	248355	68694
235	249441	67645
236	250638	66625
237	251708	65571
238	252745	64508
239	253962	63490
240	254961	62417
241	255999	61355
242	257080	60302
243	258149	59247
244	259260	58201
245	260411	57163
246	261467	56104
247	262536	55048
248	263585	53987
249	264574	52914
250	265665	51862
251	266741	50807
252	267767	49743
253	268871	48693
254	269938	47636
255	270967	46572
256	271991	45508
257	273086	44455
258	274067	43385
259	275119	42326
260	276230	41275
261	277384	40231
262	278487	39178
263	279576	38124
264	280684	37071
265	281860	36027
266	282882	34963
267	283850	33892
268	285031	32847
269	286078	31786
270	287222	30736
271	288249	29672
272	289317	28613
273	290569	27572
274	291583	26507
275	292684	25450
276	293847	24398
277	294862	23334
278	296014	22280
279	297099	21221
280	298176	20161
281	299181	19096
282	300182	18032
283	301316	16975
284	302525	15922
285	303574	14860
286	304860	13808
287	305923	12746
288	307053	11687
289	308109	10624
290	309248	9564
291	310322	8501
292	311308	7437
293	312322	6373
294	313338	5310
295	314379	4248
296	315662	3188
297	316862	2126
298	318043	1063
299	319159	0
