iter	Passed	Remaining
0	2349	702622
1	5164	769514
2	7767	768938
3	9815	726349
4	12153	717027
5	14688	719751
6	18094	757376
7	20418	745293
8	22872	739552
9	25325	734452
10	27737	728741
11	29925	718216
12	32326	713672
13	34452	703813
14	36842	700001
15	38964	691624
16	41475	690446
17	43911	687942
18	46324	685120
19	48445	678239
20	50851	675600
21	53054	670416
22	55168	664420
23	57258	658476
24	59670	656378
25	61746	650710
26	64247	649612
27	66435	645376
28	69120	645920
29	71261	641352
30	73695	639486
31	76180	638013
32	78619	636102
33	81152	634896
34	83338	630991
35	85911	630017
36	88421	628507
37	90992	627367
38	93228	623913
39	95431	620306
40	97931	618641
41	100436	616969
42	102696	613792
43	105200	612076
44	107685	610220
45	110150	608221
46	112637	606324
47	115113	604345
48	117606	602435
49	120132	600662
50	122618	598667
51	124823	595310
52	127013	591931
53	129518	590029
54	131686	586602
55	134221	584820
56	136661	582610
57	139139	580546
58	141319	577255
59	143510	574040
60	146005	572052
61	148578	570348
62	150727	567023
63	152889	563780
64	155397	561823
65	157910	559864
66	160390	557777
67	162542	554557
68	165027	552484
69	167198	549366
70	169707	547366
71	172200	545301
72	174654	543102
73	176869	540169
74	179239	537717
75	181935	536230
76	184733	535006
77	187462	533547
78	190052	531665
79	192393	529082
80	195100	527493
81	198022	526450
82	200355	523821
83	202985	521963
84	205631	520127
85	208299	518325
86	211057	516727
87	213738	514914
88	216426	513102
89	219008	511019
90	221446	508595
91	223980	506391
92	226141	503347
93	228269	500250
94	230745	497923
95	232950	495019
96	235165	492151
97	237663	489877
98	240165	487608
99	242652	485304
100	244800	482329
101	247355	480159
102	249895	477955
103	252904	476627
104	255658	474795
105	258348	472827
106	261105	470966
107	264122	469551
108	267045	467942
109	270180	466675
110	273241	465249
111	275702	462785
112	278153	460306
113	280909	458325
114	284070	456982
115	286759	454860
116	289479	452775
117	292187	450662
118	294834	448445
119	297446	446169
120	299884	443630
121	302528	441394
122	304995	438896
123	307799	436876
124	310199	434278
125	313046	432302
126	315529	429815
127	318412	427866
128	320919	425405
129	323143	422571
130	325490	419907
131	327795	417194
132	330247	414671
133	332730	412188
134	335320	409836
135	337795	407341
136	340398	405000
137	342822	402444
138	345805	400537
139	348290	398046
140	350858	395649
141	353558	393396
142	356756	391683
143	359727	389705
144	362604	387612
145	365628	385663
146	368317	383350
147	370999	381026
148	373898	378917
149	376693	376693
150	379353	374329
151	381975	371923
152	384291	369221
153	386902	366803
154	389206	364096
155	391819	361679
156	394112	358968
157	396537	356381
158	398801	353654
159	401103	350965
160	403711	348545
161	406304	346111
162	408972	343737
163	411602	341328
164	413919	338661
165	416806	336458
166	419444	334048
167	422036	331600
168	424596	329124
169	427288	326749
170	430012	324395
171	432325	321730
172	434592	319036
173	437262	316638
174	439852	314180
175	442538	311788
176	444842	309127
177	447425	306662
178	450008	304196
179	452624	301749
180	455272	299322
181	457651	296719
182	460250	294258
183	462556	291612
184	464835	288951
185	467465	286510
186	470082	284060
187	472686	281600
188	475317	279154
189	477926	276694
190	480253	274071
191	483177	271787
192	486453	269692
193	489093	267236
194	491520	264665
195	494342	262303
196	497237	259977
197	499883	257515
198	503089	255336
199	505441	252720
200	507840	250130
201	510599	247716
202	513633	245430
203	516371	242998
204	519196	240603
205	521872	238135
206	524510	235649
207	527122	233150
208	529796	230676
209	532055	228023
210	534626	225506
211	537203	222990
212	539461	220343
213	541731	217705
214	543999	215069
215	546578	212558
216	549156	210045
217	551758	207542
218	554350	205033
219	556933	202521
220	559195	199893
221	561774	197380
222	564353	194866
223	566925	192349
224	569522	189840
225	572058	187311
226	574661	184803
227	577255	182291
228	579854	179780
229	582436	177263
230	584728	174659
231	587355	172155
232	589656	169557
233	591940	166957
234	594503	164437
235	597083	161920
236	599635	159396
237	602272	156894
238	604916	154392
239	607504	151876
240	610085	149357
241	612676	146839
242	614944	144246
243	617172	141646
244	619459	139062
245	622071	136552
246	624663	134037
247	626945	131456
248	629220	128876
249	631589	126317
250	634204	123808
251	636591	121255
252	639154	118736
253	641409	116160
254	643965	113640
255	646224	111069
256	648780	108550
257	651428	106046
258	654108	103546
259	656387	100982
260	658989	98469
261	661578	95954
262	664152	93435
263	666463	90881
264	669065	88367
265	671812	85870
266	674415	83354
267	676991	80834
268	679542	78311
269	682144	75793
270	684441	73242
271	687085	70729
272	689392	68181
273	691637	65629
274	694257	63114
275	696941	60603
276	699605	58089
277	701856	55542
278	704369	53017
279	707027	50501
280	709669	47984
281	712304	45466
282	714914	42945
283	717498	40422
284	720110	37900
285	722698	35376
286	725304	32853
287	727556	30314
288	729871	27780
289	732506	25258
290	735108	22735
291	737365	20201
292	739646	17670
293	741921	15141
294	744176	12613
295	746742	10091
296	749343	7569
297	751617	5044
298	754151	2522
299	756435	0
