feature,mi
CNT_CHILDREN,0.003491426310732182
AMT_INCOME_TOTAL,0.004180265576355424
AMT_CREDIT,0.007361011897239367
AMT_ANNUITY,0.012521267794788127
AMT_GOODS_PRICE,0.005780675632646615
REGION_POPULATION_RELATIVE,0.0028324840054227973
DAYS_BIRTH,0.0036825968450813207
DAYS_EMPLOYED,0.00499833288624818
DAYS_REGISTRATION,0.0017643798695188284
DAYS_ID_PUBLISH,0.0019077385679999725
OWN_CAR_AGE,0.032157076454779165
FLAG_MOBIL,0.06575209082082867
FLAG_EMP_PHONE,0.04359208945178894
FLAG_WORK_PHONE,0.0026303369081235317
FLAG_CONT_MOBILE,0.06570476637480471
FLAG_PHONE,0.005414545222247158
FLAG_EMAIL,0.0
CNT_FAM_MEMBERS,0.020459842982438525
REGION_RATING_CLIENT,0.03856590016116557
REGION_RATING_CLIENT_W_CITY,0.03887402651763816
HOUR_APPR_PROCESS_START,0.006099492231645298
REG_REGION_NOT_LIVE_REGION,0.0007489078977516161
REG_REGION_NOT_WORK_REGION,0.0
LIVE_REGION_NOT_WORK_REGION,0.0
REG_CITY_NOT_LIVE_CITY,0.001317470515137087
REG_CITY_NOT_WORK_CITY,0.004320872597641134
LIVE_CITY_NOT_WORK_CITY,0.0020766527449458394
EXT_SOURCE_1,0.01920986078192466
EXT_SOURCE_2,0.012206848199102893
EXT_SOURCE_3,0.014251970238413403
APARTMENTS_AVG,0.0022709786436474477
BASEMENTAREA_AVG,0.0023255787337996825
YEARS_BEGINEXPLUATATION_AVG,0.011835435754502521
YEARS_BUILD_AVG,0.019916430281437414
COMMONAREA_AVG,0.0009477287858599137
ELEVATORS_AVG,0.0005506992521797649
ENTRANCES_AVG,0.004992279519143938
FLOORSMAX_AVG,0.005678558447884896
FLOORSMIN_AVG,0.007696459766691532
LANDAREA_AVG,0.0011002408106322026
LIVINGAPARTMENTS_AVG,0.002580531383059803
LIVINGAREA_AVG,0.0023177435305545835
NONLIVINGAPARTMENTS_AVG,0.0006336552422028241
NONLIVINGAREA_AVG,0.001257176384483305
