feature,importance,fold
CNT_CHILDREN,0,1
AMT_INCOME_TOTAL,0,1
AMT_CREDIT,0,1
AMT_ANNUITY,0,1
AMT_GOODS_PRICE,0,1
REGION_POPULATION_RELATIVE,0,1
DAYS_BIRTH,0,1
DAYS_EMPLOYED,1,1
DAYS_REGISTRATION,0,1
DAYS_ID_PUBLISH,0,1
OWN_CAR_AGE,0,1
FLAG_MOBIL,0,1
FLAG_EMP_PHONE,0,1
FLAG_WORK_PHONE,0,1
FLAG_CONT_MOBILE,0,1
FLAG_PHONE,0,1
FLAG_EMAIL,0,1
CNT_FAM_MEMBERS,0,1
REGION_RATING_CLIENT,0,1
REGION_RATING_CLIENT_W_CITY,0,1
HOUR_APPR_PROCESS_START,0,1
REG_REGION_NOT_LIVE_REGION,0,1
REG_REGION_NOT_WORK_REGION,0,1
LIVE_REGION_NOT_WORK_REGION,0,1
REG_CITY_NOT_LIVE_CITY,0,1
REG_CITY_NOT_WORK_CITY,0,1
LIVE_CITY_NOT_WORK_CITY,0,1
EXT_SOURCE_1,0,1
EXT_SOURCE_2,3,1
EXT_SOURCE_3,2,1
APARTMENTS_AVG,0,1
BASEMENTAREA_AVG,0,1
YEARS_BEGINEXPLUATATION_AVG,0,1
YEARS_BUILD_AVG,0,1
COMMONAREA_AVG,0,1
ELEVATORS_AVG,0,1
ENTRANCES_AVG,0,1
FLOORSMAX_AVG,0,1
FLOORSMIN_AVG,0,1
LANDAREA_AVG,0,1
LIVINGAPARTMENTS_AVG,0,1
LIVINGAREA_AVG,0,1
NONLIVINGAPARTMENTS_AVG,0,1
NONLIVINGAREA_AVG,0,1
APARTMENTS_MODE,0,1
BASEMENTAREA_MODE,0,1
YEARS_BEGINEXPLUATATION_MODE,0,1
YEARS_BUILD_MODE,0,1
COMMONAREA_MODE,0,1
ELEVATORS_MODE,0,1
ENTRANCES_MODE,0,1
FLOORSMAX_MODE,0,1
FLOORSMIN_MODE,0,1
LANDAREA_MODE,0,1
LIVINGAPARTMENTS_MODE,0,1
LIVINGAREA_MODE,0,1
NONLIVINGAPARTMENTS_MODE,0,1
NONLIVINGAREA_MODE,0,1
APARTMENTS_MEDI,0,1
BASEMENTAREA_MEDI,0,1
YEARS_BEGINEXPLUATATION_MEDI,0,1
YEARS_BUILD_MEDI,0,1
COMMONAREA_MEDI,0,1
ELEVATORS_MEDI,0,1
ENTRANCES_MEDI,0,1
FLOORSMAX_MEDI,0,1
FLOORSMIN_MEDI,0,1
LANDAREA_MEDI,0,1
LIVINGAPARTMENTS_MEDI,0,1
LIVINGAREA_MEDI,0,1
NONLIVINGAPARTMENTS_MEDI,0,1
NONLIVINGAREA_MEDI,0,1
TOTALAREA_MODE,0,1
OBS_30_CNT_SOCIAL_CIRCLE,0,1
DEF_30_CNT_SOCIAL_CIRCLE,0,1
OBS_60_CNT_SOCIAL_CIRCLE,0,1
DEF_60_CNT_SOCIAL_CIRCLE,0,1
DAYS_LAST_PHONE_CHANGE,0,1
FLAG_DOCUMENT_2,0,1
FLAG_DOCUMENT_3,0,1
FLAG_DOCUMENT_4,0,1
FLAG_DOCUMENT_5,0,1
FLAG_DOCUMENT_6,0,1
FLAG_DOCUMENT_7,0,1
FLAG_DOCUMENT_8,0,1
FLAG_DOCUMENT_9,0,1
FLAG_DOCUMENT_10,0,1
FLAG_DOCUMENT_11,0,1
FLAG_DOCUMENT_12,0,1
FLAG_DOCUMENT_13,0,1
FLAG_DOCUMENT_14,0,1
FLAG_DOCUMENT_15,0,1
FLAG_DOCUMENT_16,0,1
FLAG_DOCUMENT_17,0,1
FLAG_DOCUMENT_18,0,1
FLAG_DOCUMENT_19,0,1
FLAG_DOCUMENT_20,0,1
FLAG_DOCUMENT_21,0,1
AMT_REQ_CREDIT_BUREAU_HOUR,0,1
AMT_REQ_CREDIT_BUREAU_DAY,0,1
AMT_REQ_CREDIT_BUREAU_WEEK,0,1
AMT_REQ_CREDIT_BUREAU_MON,0,1
AMT_REQ_CREDIT_BUREAU_QRT,0,1
AMT_REQ_CREDIT_BUREAU_YEAR,0,1
NEW_CREDIT_TO_ANNUITY_RATIO,0,1
NEW_CREDIT_TO_GOODS_RATIO,3,1
NEW_CREDIT_TO_INCOME_RATIO,0,1
NEW_ANNUITY_TO_INCOME_RATIO,0,1
NEW_DOC_IND_SUM,0,1
NEW_DOC_IND_KURT,0,1
NEW_CONTACT_IND_SUM,0,1
NEW_CONTACT_IND_KURT,0,1
NEW_INC_PER_CHLD,0,1
NEW_INC_BY_ORG,0,1
NEW_SOURCES_PROD,0,1
NEW_SOURCES_MEAN,4,1
NEW_SOURCES_STD,0,1
NEW_SOURCES_NA_SUM,0,1
NEW_EMPLOY_TO_BIRTH_RATIO,0,1
NEW_CAR_TO_BIRTH_RATIO,0,1
NEW_CAR_TO_EMPLOY_RATIO,0,1
NEW_PHONE_TO_BIRTH_RATIO,0,1
NEW_PHONE_TO_EMPLOY_RATIO,0,1
NEW_REG_IND_SUM,0,1
NEW_REG_IND_KURT,0,1
NAME_CONTRACT_TYPE,0,1
CODE_GENDER,0,1
FLAG_OWN_CAR,0,1
FLAG_OWN_REALTY,0,1
NAME_TYPE_SUITE,0,1
NAME_INCOME_TYPE,0,1
NAME_EDUCATION_TYPE,0,1
NAME_FAMILY_STATUS,0,1
NAME_HOUSING_TYPE,0,1
OCCUPATION_TYPE,1,1
WEEKDAY_APPR_PROCESS_START,0,1
ORGANIZATION_TYPE,1,1
FONDKAPREMONT_MODE,0,1
HOUSETYPE_MODE,0,1
WALLSMATERIAL_MODE,0,1
EMERGENCYSTATE_MODE,0,1
NEW_LIVE_IND_SUM,0,1
SUM(previous_application.AMT_ANNUITY),0,1
SUM(previous_application.AMT_APPLICATION),0,1
SUM(previous_application.AMT_CREDIT),0,1
SUM(previous_application.AMT_DOWN_PAYMENT),0,1
SUM(previous_application.AMT_GOODS_PRICE),0,1
SUM(previous_application.HOUR_APPR_PROCESS_START),0,1
SUM(previous_application.NFLAG_LAST_APPL_IN_DAY),0,1
SUM(previous_application.RATE_DOWN_PAYMENT),0,1
SUM(previous_application.RATE_INTEREST_PRIMARY),0,1
SUM(previous_application.RATE_INTEREST_PRIVILEGED),0,1
SUM(previous_application.DAYS_DECISION),0,1
SUM(previous_application.SELLERPLACE_AREA),0,1
SUM(previous_application.CNT_PAYMENT),0,1
SUM(previous_application.DAYS_FIRST_DRAWING),0,1
SUM(previous_application.DAYS_FIRST_DUE),0,1
SUM(previous_application.DAYS_LAST_DUE_1ST_VERSION),0,1
SUM(previous_application.DAYS_LAST_DUE),0,1
SUM(previous_application.DAYS_TERMINATION),0,1
SUM(previous_application.NFLAG_INSURED_ON_APPROVAL),0,1
SUM(previous_application.NEW_AMT_APPLICATION_DIVIDE_AMT_CREDIT),0,1
SUM(previous_application.NEW_AMT_DOWN_PAYMENT_DIVIDE_AMT_CREDIT),0,1
SUM(previous_application.POS_MONTHS_BALANCE_SIZE),0,1
SUM(previous_application.CREDIT_MONTHS_BALANCE_SIZE),0,1
STD(previous_application.AMT_ANNUITY),0,1
STD(previous_application.AMT_APPLICATION),0,1
STD(previous_application.AMT_CREDIT),0,1
STD(previous_application.AMT_DOWN_PAYMENT),0,1
STD(previous_application.AMT_GOODS_PRICE),0,1
STD(previous_application.HOUR_APPR_PROCESS_START),0,1
STD(previous_application.NFLAG_LAST_APPL_IN_DAY),0,1
STD(previous_application.RATE_DOWN_PAYMENT),0,1
STD(previous_application.RATE_INTEREST_PRIMARY),0,1
STD(previous_application.RATE_INTEREST_PRIVILEGED),0,1
STD(previous_application.DAYS_DECISION),0,1
STD(previous_application.SELLERPLACE_AREA),0,1
STD(previous_application.CNT_PAYMENT),0,1
STD(previous_application.DAYS_FIRST_DRAWING),0,1
STD(previous_application.DAYS_FIRST_DUE),0,1
STD(previous_application.DAYS_LAST_DUE_1ST_VERSION),0,1
STD(previous_application.DAYS_LAST_DUE),0,1
STD(previous_application.DAYS_TERMINATION),0,1
STD(previous_application.NFLAG_INSURED_ON_APPROVAL),0,1
STD(previous_application.NEW_AMT_APPLICATION_DIVIDE_AMT_CREDIT),0,1
STD(previous_application.NEW_AMT_DOWN_PAYMENT_DIVIDE_AMT_CREDIT),0,1
STD(previous_application.POS_MONTHS_BALANCE_SIZE),0,1
STD(previous_application.CREDIT_MONTHS_BALANCE_SIZE),0,1
MAX(previous_application.AMT_ANNUITY),0,1
MAX(previous_application.AMT_APPLICATION),0,1
MAX(previous_application.AMT_CREDIT),0,1
MAX(previous_application.AMT_DOWN_PAYMENT),0,1
MAX(previous_application.AMT_GOODS_PRICE),0,1
MAX(previous_application.HOUR_APPR_PROCESS_START),0,1
MAX(previous_application.NFLAG_LAST_APPL_IN_DAY),0,1
MAX(previous_application.RATE_DOWN_PAYMENT),0,1
MAX(previous_application.RATE_INTEREST_PRIMARY),0,1
MAX(previous_application.RATE_INTEREST_PRIVILEGED),0,1
MAX(previous_application.DAYS_DECISION),0,1
