feature,importance,fold
CNT_CHILDREN,3,1
AMT_INCOME_TOTAL,107,1
AMT_CREDIT,190,1
AMT_ANNUITY,460,1
AMT_GOODS_PRICE,274,1
REGION_POPULATION_RELATIVE,185,1
DAYS_BIRTH,562,1
DAYS_EMPLOYED,329,1
DAYS_REGISTRATION,252,1
DAYS_ID_PUBLISH,313,1
OWN_CAR_AGE,107,1
FLAG_MOBIL,0,1
FLAG_EMP_PHONE,0,1
FLAG_WORK_PHONE,74,1
FLAG_CONT_MOBILE,0,1
FLAG_PHONE,4,1
FLAG_EMAIL,4,1
CNT_FAM_MEMBERS,26,1
REGION_RATING_CLIENT,13,1
REGION_RATING_CLIENT_W_CITY,140,1
HOUR_APPR_PROCESS_START,70,1
REG_REGION_NOT_LIVE_REGION,0,1
REG_REGION_NOT_WORK_REGION,0,1
LIVE_REGION_NOT_WORK_REGION,2,1
REG_CITY_NOT_LIVE_CITY,56,1
REG_CITY_NOT_WORK_CITY,5,1
LIVE_CITY_NOT_WORK_CITY,28,1
EXT_SOURCE_1,379,1
EXT_SOURCE_2,454,1
EXT_SOURCE_3,495,1
APARTMENTS_AVG,46,1
BASEMENTAREA_AVG,34,1
YEARS_BEGINEXPLUATATION_AVG,34,1
YEARS_BUILD_AVG,11,1
COMMONAREA_AVG,24,1
ELEVATORS_AVG,11,1
ENTRANCES_AVG,40,1
FLOORSMAX_AVG,25,1
FLOORSMIN_AVG,9,1
LANDAREA_AVG,30,1
LIVINGAPARTMENTS_AVG,31,1
LIVINGAREA_AVG,38,1
NONLIVINGAPARTMENTS_AVG,22,1
NONLIVINGAREA_AVG,34,1
APARTMENTS_MODE,44,1
BASEMENTAREA_MODE,24,1
YEARS_BEGINEXPLUATATION_MODE,55,1
YEARS_BUILD_MODE,40,1
COMMONAREA_MODE,24,1
ELEVATORS_MODE,6,1
ENTRANCES_MODE,17,1
FLOORSMAX_MODE,17,1
FLOORSMIN_MODE,11,1
LANDAREA_MODE,46,1
LIVINGAPARTMENTS_MODE,28,1
LIVINGAREA_MODE,48,1
NONLIVINGAPARTMENTS_MODE,3,1
NONLIVINGAREA_MODE,28,1
APARTMENTS_MEDI,36,1
