feature,importance,fold
CNT_CHILDREN,4,1
AMT_INCOME_TOTAL,167,1
AMT_CREDIT,247,1
AMT_ANNUITY,560,1
AMT_GOODS_PRICE,316,1
REGION_POPULATION_RELATIVE,305,1
DAYS_BIRTH,719,1
DAYS_EMPLOYED,460,1
DAYS_REGISTRATION,408,1
DAYS_ID_PUBLISH,471,1
OWN_CAR_AGE,121,1
FLAG_MOBIL,0,1
FLAG_EMP_PHONE,0,1
FLAG_WORK_PHONE,92,1
FLAG_CONT_MOBILE,0,1
FLAG_PHONE,11,1
FLAG_EMAIL,7,1
CNT_FAM_MEMBERS,29,1
REGION_RATING_CLIENT,20,1
REGION_RATING_CLIENT_W_CITY,130,1
HOUR_APPR_PROCESS_START,136,1
REG_REGION_NOT_LIVE_REGION,1,1
REG_REGION_NOT_WORK_REGION,1,1
LIVE_REGION_NOT_WORK_REGION,2,1
REG_CITY_NOT_LIVE_CITY,54,1
REG_CITY_NOT_WORK_CITY,5,1
LIVE_CITY_NOT_WORK_CITY,33,1
EXT_SOURCE_1,506,1
EXT_SOURCE_2,511,1
EXT_SOURCE_3,603,1
APARTMENTS_AVG,77,1
BASEMENTAREA_AVG,46,1
YEARS_BEGINEXPLUATATION_AVG,41,1
YEARS_BUILD_AVG,31,1
COMMONAREA_AVG,47,1
ELEVATORS_AVG,26,1
ENTRANCES_AVG,60,1
FLOORSMAX_AVG,35,1
FLOORSMIN_AVG,27,1
LANDAREA_AVG,51,1
LIVINGAPARTMENTS_AVG,50,1
LIVINGAREA_AVG,46,1
NONLIVINGAPARTMENTS_AVG,40,1
NONLIVINGAREA_AVG,57,1
APARTMENTS_MODE,66,1
BASEMENTAREA_MODE,58,1
YEARS_BEGINEXPLUATATION_MODE,86,1
YEARS_BUILD_MODE,45,1
COMMONAREA_MODE,64,1
ELEVATORS_MODE,10,1
ENTRANCES_MODE,28,1
FLOORSMAX_MODE,24,1
FLOORSMIN_MODE,19,1
LANDAREA_MODE,79,1
LIVINGAPARTMENTS_MODE,51,1
LIVINGAREA_MODE,70,1
NONLIVINGAPARTMENTS_MODE,9,1
NONLIVINGAREA_MODE,53,1
APARTMENTS_MEDI,73,1
BASEMENTAREA_MEDI,58,1
YEARS_BEGINEXPLUATATION_MEDI,100,1
YEARS_BUILD_MEDI,23,1
COMMONAREA_MEDI,51,1
ELEVATORS_MEDI,9,1
ENTRANCES_MEDI,23,1
FLOORSMAX_MEDI,19,1
FLOORSMIN_MEDI,17,1
LANDAREA_MEDI,52,1
LIVINGAPARTMENTS_MEDI,44,1
LIVINGAREA_MEDI,53,1
NONLIVINGAPARTMENTS_MEDI,12,1
NONLIVINGAREA_MEDI,47,1
TOTALAREA_MODE,117,1
OBS_30_CNT_SOCIAL_CIRCLE,45,1
DEF_30_CNT_SOCIAL_CIRCLE,91,1
OBS_60_CNT_SOCIAL_CIRCLE,52,1
DEF_60_CNT_SOCIAL_CIRCLE,50,1
DAYS_LAST_PHONE_CHANGE,184,1
FLAG_DOCUMENT_2,0,1
FLAG_DOCUMENT_3,44,1
FLAG_DOCUMENT_4,0,1
FLAG_DOCUMENT_5,0,1
FLAG_DOCUMENT_6,2,1
FLAG_DOCUMENT_7,0,1
FLAG_DOCUMENT_8,12,1
FLAG_DOCUMENT_9,0,1
FLAG_DOCUMENT_10,0,1
FLAG_DOCUMENT_11,2,1
FLAG_DOCUMENT_12,0,1
FLAG_DOCUMENT_13,0,1
FLAG_DOCUMENT_14,0,1
FLAG_DOCUMENT_15,0,1
FLAG_DOCUMENT_16,0,1
FLAG_DOCUMENT_17,0,1
FLAG_DOCUMENT_18,3,1
FLAG_DOCUMENT_19,0,1
FLAG_DOCUMENT_20,0,1
FLAG_DOCUMENT_21,0,1
AMT_REQ_CREDIT_BUREAU_HOUR,0,1
AMT_REQ_CREDIT_BUREAU_DAY,14,1
AMT_REQ_CREDIT_BUREAU_WEEK,14,1
AMT_REQ_CREDIT_BUREAU_MON,36,1
AMT_REQ_CREDIT_BUREAU_QRT,92,1
AMT_REQ_CREDIT_BUREAU_YEAR,64,1
NEW_CREDIT_TO_ANNUITY_RATIO,1081,1
NEW_CREDIT_TO_GOODS_RATIO,565,1
NEW_CREDIT_TO_INCOME_RATIO,257,1
NEW_ANNUITY_TO_INCOME_RATIO,365,1
NEW_DOC_IND_SUM,56,1
NEW_DOC_IND_KURT,87,1
NEW_LIVE_IND_KURT,0,1
NEW_CONTACT_IND_SUM,17,1
NEW_CONTACT_IND_KURT,21,1
NEW_INC_PER_CHLD,129,1
NEW_INC_BY_ORG,106,1
NEW_SOURCES_PROD,325,1
NEW_SOURCES_MEAN,1092,1
NEW_SOURCES_STD,300,1
NEW_SOURCES_NA_SUM,30,1
NEW_EMPLOY_TO_BIRTH_RATIO,386,1
NEW_CAR_TO_BIRTH_RATIO,188,1
NEW_CAR_TO_EMPLOY_RATIO,228,1
NEW_PHONE_TO_BIRTH_RATIO,228,1
NEW_PHONE_TO_EMPLOY_RATIO,289,1
NEW_REG_IND_SUM,8,1
NEW_REG_IND_KURT,3,1
NAME_CONTRACT_TYPE,11,1
CODE_GENDER,189,1
FLAG_OWN_CAR,1,1
FLAG_OWN_REALTY,10,1
NAME_TYPE_SUITE,27,1
NAME_INCOME_TYPE,68,1
NAME_EDUCATION_TYPE,141,1
NAME_FAMILY_STATUS,175,1
NAME_HOUSING_TYPE,71,1
OCCUPATION_TYPE,290,1
WEEKDAY_APPR_PROCESS_START,118,1
ORGANIZATION_TYPE,395,1
FONDKAPREMONT_MODE,5,1
HOUSETYPE_MODE,9,1
WALLSMATERIAL_MODE,30,1
EMERGENCYSTATE_MODE,0,1
NEW_LIVE_IND_SUM,27,1
SUM(previous_application.AMT_ANNUITY),68,1
SUM(previous_application.AMT_APPLICATION),62,1
SUM(previous_application.AMT_CREDIT),74,1
SUM(previous_application.AMT_DOWN_PAYMENT),154,1
SUM(previous_application.AMT_GOODS_PRICE),7,1
SUM(previous_application.HOUR_APPR_PROCESS_START),88,1
SUM(previous_application.NFLAG_LAST_APPL_IN_DAY),9,1
SUM(previous_application.RATE_DOWN_PAYMENT),63,1
SUM(previous_application.RATE_INTEREST_PRIMARY),0,1
SUM(previous_application.RATE_INTEREST_PRIVILEGED),0,1
SUM(previous_application.DAYS_DECISION),108,1
SUM(previous_application.SELLERPLACE_AREA),153,1
SUM(previous_application.CNT_PAYMENT),90,1
SUM(previous_application.DAYS_FIRST_DRAWING),4,1
SUM(previous_application.DAYS_FIRST_DUE),66,1
SUM(previous_application.DAYS_LAST_DUE_1ST_VERSION),151,1
SUM(previous_application.DAYS_LAST_DUE),31,1
SUM(previous_application.DAYS_TERMINATION),51,1
SUM(previous_application.NFLAG_INSURED_ON_APPROVAL),10,1
SUM(previous_application.NEW_AMT_APPLICATION_DIVIDE_AMT_CREDIT),88,1
SUM(previous_application.NEW_AMT_DOWN_PAYMENT_DIVIDE_AMT_CREDIT),59,1
SUM(previous_application.POS_MONTHS_BALANCE_SIZE),70,1
SUM(previous_application.CREDIT_MONTHS_BALANCE_SIZE),7,1
STD(previous_application.AMT_ANNUITY),98,1
STD(previous_application.AMT_APPLICATION),67,1
STD(previous_application.AMT_CREDIT),72,1
STD(previous_application.AMT_DOWN_PAYMENT),137,1
STD(previous_application.AMT_GOODS_PRICE),97,1
STD(previous_application.HOUR_APPR_PROCESS_START),147,1
STD(previous_application.NFLAG_LAST_APPL_IN_DAY),1,1
STD(previous_application.RATE_DOWN_PAYMENT),102,1
STD(previous_application.RATE_INTEREST_PRIMARY),0,1
STD(previous_application.RATE_INTEREST_PRIVILEGED),0,1
STD(previous_application.DAYS_DECISION),121,1
STD(previous_application.SELLERPLACE_AREA),125,1
STD(previous_application.CNT_PAYMENT),183,1
STD(previous_application.DAYS_FIRST_DRAWING),0,1
STD(previous_application.DAYS_FIRST_DUE),113,1
STD(previous_application.DAYS_LAST_DUE_1ST_VERSION),78,1
STD(previous_application.DAYS_LAST_DUE),94,1
STD(previous_application.DAYS_TERMINATION),81,1
STD(previous_application.NFLAG_INSURED_ON_APPROVAL),37,1
STD(previous_application.NEW_AMT_APPLICATION_DIVIDE_AMT_CREDIT),139,1
STD(previous_application.NEW_AMT_DOWN_PAYMENT_DIVIDE_AMT_CREDIT),70,1
STD(previous_application.POS_MONTHS_BALANCE_SIZE),102,1
STD(previous_application.CREDIT_MONTHS_BALANCE_SIZE),0,1
MAX(previous_application.AMT_ANNUITY),128,1
MAX(previous_application.AMT_APPLICATION),59,1
MAX(previous_application.AMT_CREDIT),64,1
MAX(previous_application.AMT_DOWN_PAYMENT),176,1
MAX(previous_application.AMT_GOODS_PRICE),17,1
MAX(previous_application.HOUR_APPR_PROCESS_START),117,1
MAX(previous_application.NFLAG_LAST_APPL_IN_DAY),0,1
MAX(previous_application.RATE_DOWN_PAYMENT),83,1
MAX(previous_application.RATE_INTEREST_PRIMARY),0,1
MAX(previous_application.RATE_INTEREST_PRIVILEGED),0,1
MAX(previous_application.DAYS_DECISION),158,1
MAX(previous_application.SELLERPLACE_AREA),172,1
MAX(previous_application.CNT_PAYMENT),36,1
MAX(previous_application.DAYS_FIRST_DRAWING),50,1
MAX(previous_application.DAYS_FIRST_DUE),165,1
MAX(previous_application.DAYS_LAST_DUE_1ST_VERSION),363,1
MAX(previous_application.DAYS_LAST_DUE),280,1
MAX(previous_application.DAYS_TERMINATION),189,1
MAX(previous_application.NFLAG_INSURED_ON_APPROVAL),2,1
MAX(previous_application.NEW_AMT_APPLICATION_DIVIDE_AMT_CREDIT),152,1
MAX(previous_application.NEW_AMT_DOWN_PAYMENT_DIVIDE_AMT_CREDIT),59,1
MAX(previous_application.POS_MONTHS_BALANCE_SIZE),30,1
MAX(previous_application.CREDIT_MONTHS_BALANCE_SIZE),11,1
MIN(previous_application.AMT_ANNUITY),130,1
MIN(previous_application.AMT_APPLICATION),85,1
MIN(previous_application.AMT_CREDIT),85,1
MIN(previous_application.AMT_DOWN_PAYMENT),39,1
MIN(previous_application.AMT_GOODS_PRICE),140,1
MIN(previous_application.HOUR_APPR_PROCESS_START),60,1
MIN(previous_application.NFLAG_LAST_APPL_IN_DAY),0,1
MIN(previous_application.RATE_DOWN_PAYMENT),47,1
MIN(previous_application.RATE_INTEREST_PRIMARY),0,1
MIN(previous_application.RATE_INTEREST_PRIVILEGED),0,1
MIN(previous_application.DAYS_DECISION),116,1
MIN(previous_application.SELLERPLACE_AREA),62,1
MIN(previous_application.CNT_PAYMENT),24,1
MIN(previous_application.DAYS_FIRST_DRAWING),66,1
MIN(previous_application.DAYS_FIRST_DUE),122,1
MIN(previous_application.DAYS_LAST_DUE_1ST_VERSION),89,1
MIN(previous_application.DAYS_LAST_DUE),88,1
MIN(previous_application.DAYS_TERMINATION),99,1
MIN(previous_application.NFLAG_INSURED_ON_APPROVAL),0,1
MIN(previous_application.NEW_AMT_APPLICATION_DIVIDE_AMT_CREDIT),184,1
MIN(previous_application.NEW_AMT_DOWN_PAYMENT_DIVIDE_AMT_CREDIT),37,1
MIN(previous_application.POS_MONTHS_BALANCE_SIZE),39,1
MIN(previous_application.CREDIT_MONTHS_BALANCE_SIZE),20,1
MEDIAN(previous_application.AMT_ANNUITY),184,1
MEDIAN(previous_application.AMT_APPLICATION),135,1
MEDIAN(previous_application.AMT_CREDIT),139,1
MEDIAN(previous_application.AMT_DOWN_PAYMENT),134,1
MEDIAN(previous_application.AMT_GOODS_PRICE),124,1
MEDIAN(previous_application.HOUR_APPR_PROCESS_START),127,1
MEDIAN(previous_application.NFLAG_LAST_APPL_IN_DAY),0,1
MEDIAN(previous_application.RATE_DOWN_PAYMENT),85,1
MEDIAN(previous_application.RATE_INTEREST_PRIMARY),0,1
MEDIAN(previous_application.RATE_INTEREST_PRIVILEGED),0,1
MEDIAN(previous_application.DAYS_DECISION),164,1
MEDIAN(previous_application.SELLERPLACE_AREA),160,1
MEDIAN(previous_application.CNT_PAYMENT),86,1
MEDIAN(previous_application.DAYS_FIRST_DRAWING),10,1
MEDIAN(previous_application.DAYS_FIRST_DUE),180,1
MEDIAN(previous_application.DAYS_LAST_DUE_1ST_VERSION),190,1
MEDIAN(previous_application.DAYS_LAST_DUE),121,1
MEDIAN(previous_application.DAYS_TERMINATION),109,1
MEDIAN(previous_application.NFLAG_INSURED_ON_APPROVAL),18,1
MEDIAN(previous_application.NEW_AMT_APPLICATION_DIVIDE_AMT_CREDIT),209,1
MEDIAN(previous_application.NEW_AMT_DOWN_PAYMENT_DIVIDE_AMT_CREDIT),80,1
MEDIAN(previous_application.POS_MONTHS_BALANCE_SIZE),40,1
MEDIAN(previous_application.CREDIT_MONTHS_BALANCE_SIZE),6,1
COUNT(previous_application),6,1
MODE(previous_application.NAME_CONTRACT_TYPE),3,1
MODE(previous_application.WEEKDAY_APPR_PROCESS_START),86,1
MODE(previous_application.FLAG_LAST_APPL_PER_CONTRACT),0,1
MODE(previous_application.NAME_CASH_LOAN_PURPOSE),36,1
MODE(previous_application.NAME_CONTRACT_STATUS),81,1
MODE(previous_application.NAME_PAYMENT_TYPE),0,1
MODE(previous_application.CODE_REJECT_REASON),88,1
MODE(previous_application.NAME_TYPE_SUITE),77,1
MODE(previous_application.NAME_CLIENT_TYPE),14,1
MODE(previous_application.NAME_GOODS_CATEGORY),85,1
MODE(previous_application.NAME_PORTFOLIO),8,1
MODE(previous_application.NAME_PRODUCT_TYPE),14,1
MODE(previous_application.CHANNEL_TYPE),54,1
MODE(previous_application.NAME_SELLER_INDUSTRY),90,1
MODE(previous_application.NAME_YIELD_GROUP),124,1
MODE(previous_application.PRODUCT_COMBINATION),89,1
NUM_UNIQUE(previous_application.NAME_CONTRACT_TYPE),15,1
NUM_UNIQUE(previous_application.WEEKDAY_APPR_PROCESS_START),15,1
NUM_UNIQUE(previous_application.FLAG_LAST_APPL_PER_CONTRACT),0,1
NUM_UNIQUE(previous_application.NAME_CASH_LOAN_PURPOSE),4,1
NUM_UNIQUE(previous_application.NAME_CONTRACT_STATUS),6,1
NUM_UNIQUE(previous_application.NAME_PAYMENT_TYPE),0,1
NUM_UNIQUE(previous_application.CODE_REJECT_REASON),20,1
NUM_UNIQUE(previous_application.NAME_TYPE_SUITE),38,1
NUM_UNIQUE(previous_application.NAME_CLIENT_TYPE),15,1
NUM_UNIQUE(previous_application.NAME_GOODS_CATEGORY),17,1
NUM_UNIQUE(previous_application.NAME_PORTFOLIO),8,1
NUM_UNIQUE(previous_application.NAME_PRODUCT_TYPE),10,1
NUM_UNIQUE(previous_application.CHANNEL_TYPE),17,1
NUM_UNIQUE(previous_application.NAME_SELLER_INDUSTRY),8,1
NUM_UNIQUE(previous_application.NAME_YIELD_GROUP),9,1
NUM_UNIQUE(previous_application.PRODUCT_COMBINATION),10,1
SUM(bureau.DAYS_CREDIT),136,1
SUM(bureau.CREDIT_DAY_OVERDUE),3,1
SUM(bureau.DAYS_CREDIT_ENDDATE),195,1
SUM(bureau.DAYS_ENDDATE_FACT),104,1
SUM(bureau.AMT_CREDIT_MAX_OVERDUE),163,1
SUM(bureau.CNT_CREDIT_PROLONG),0,1
SUM(bureau.AMT_CREDIT_SUM),260,1
SUM(bureau.AMT_CREDIT_SUM_DEBT),261,1
SUM(bureau.AMT_CREDIT_SUM_LIMIT),66,1
SUM(bureau.AMT_CREDIT_SUM_OVERDUE),16,1
SUM(bureau.DAYS_CREDIT_UPDATE),99,1
SUM(bureau.AMT_ANNUITY),48,1
SUM(bureau.NEW_AMT_CREDIT_SUM_DEBT_DIVIDE_AMT_CREDIT_SUM),122,1
SUM(bureau.NEW_AMT_CREDIT_SUM_LIMIT_DIVIDE_AMT_CREDIT_SUM),0,1
SUM(bureau.NEW_AMT_CREDIT_SUM_OVERDUE_DIVIDE_AMT_CREDIT_SUM_DEBT),0,1
SUM(bureau.NEW_AMT_CREDIT_SUM_OVERDUE_DIVIDE_AMT_CREDIT_SUM),0,1
SUM(bureau.MONTHS_BALANCE_SIZE),70,1
STD(bureau.DAYS_CREDIT),170,1
STD(bureau.CREDIT_DAY_OVERDUE),10,1
STD(bureau.DAYS_CREDIT_ENDDATE),173,1
STD(bureau.DAYS_ENDDATE_FACT),191,1
STD(bureau.AMT_CREDIT_MAX_OVERDUE),109,1
STD(bureau.CNT_CREDIT_PROLONG),19,1
STD(bureau.AMT_CREDIT_SUM),199,1
STD(bureau.AMT_CREDIT_SUM_DEBT),201,1
STD(bureau.AMT_CREDIT_SUM_LIMIT),84,1
STD(bureau.AMT_CREDIT_SUM_OVERDUE),25,1
STD(bureau.DAYS_CREDIT_UPDATE),142,1
STD(bureau.AMT_ANNUITY),65,1
STD(bureau.NEW_AMT_CREDIT_SUM_DEBT_DIVIDE_AMT_CREDIT_SUM),36,1
STD(bureau.NEW_AMT_CREDIT_SUM_LIMIT_DIVIDE_AMT_CREDIT_SUM),3,1
STD(bureau.MONTHS_BALANCE_SIZE),94,1
MAX(bureau.DAYS_CREDIT),523,1
MAX(bureau.CREDIT_DAY_OVERDUE),1,1
MAX(bureau.DAYS_CREDIT_ENDDATE),428,1
MAX(bureau.DAYS_ENDDATE_FACT),350,1
MAX(bureau.AMT_CREDIT_MAX_OVERDUE),176,1
MAX(bureau.CNT_CREDIT_PROLONG),0,1
MAX(bureau.AMT_CREDIT_SUM),279,1
MAX(bureau.AMT_CREDIT_SUM_DEBT),218,1
MAX(bureau.AMT_CREDIT_SUM_LIMIT),87,1
MAX(bureau.AMT_CREDIT_SUM_OVERDUE),32,1
MAX(bureau.DAYS_CREDIT_UPDATE),221,1
MAX(bureau.AMT_ANNUITY),66,1
MAX(bureau.NEW_AMT_CREDIT_SUM_DEBT_DIVIDE_AMT_CREDIT_SUM),1,1
MAX(bureau.NEW_AMT_CREDIT_SUM_LIMIT_DIVIDE_AMT_CREDIT_SUM),0,1
